2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status half-configured fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status installed fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 configure libfontconfig1:amd64 2.11.94-0ubuntu1.1 <none>
2019-01-24 08:46:18 status unpacked libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status half-configured libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 status installed libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:18 configure libjpeg8:amd64 8c-2ubuntu8 <none>
2019-01-24 08:46:18 status unpacked libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:18 status half-configured libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:18 status installed libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:18 configure libtiff5:amd64 4.0.6-1ubuntu0.5 <none>
2019-01-24 08:46:18 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:18 status half-configured libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:18 status installed libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:18 configure libvpx3:amd64 1.5.0-2ubuntu1 <none>
2019-01-24 08:46:18 status unpacked libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:18 status half-configured libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:18 status installed libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:18 configure libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1 <none>
2019-01-24 08:46:18 status unpacked libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:18 status half-configured libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:18 status installed libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:18 configure libgd3:amd64 2.1.1-4ubuntu0.16.04.10 <none>
2019-01-24 08:46:18 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:18 status half-configured libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:18 status installed libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:18 configure nginx-common:all 1.10.3-0ubuntu0.16.04.3 <none>
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status triggers-pending systemd:amd64 229-4ubuntu21.10
2019-01-24 08:46:18 status triggers-pending ureadahead:amd64 0.100.0-19
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status triggers-pending ureadahead:amd64 0.100.0-19
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status triggers-pending ufw:all 0.35-0ubuntu2
2019-01-24 08:46:18 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:18 status half-configured nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 status installed nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 configure nginx-core:amd64 1.10.3-0ubuntu0.16.04.3 <none>
2019-01-24 08:46:19 status unpacked nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 status half-configured nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 status installed nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 configure nginx:all 1.10.3-0ubuntu0.16.04.3 <none>
2019-01-24 08:46:19 status unpacked nginx:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 status half-configured nginx:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 status installed nginx:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:19 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-01-24 08:46:19 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-01-24 08:46:19 status installed libc-bin:amd64 2.23-0ubuntu10
